Device_ID,Device_Category,Outbound_Packets_Sec,Avg_Packet_Size_Bytes,Unique_Dest_IPs,Device_CPU_Usage_Pct,Calculated_Botnet_Score,Threat_Classification,Is_Compromised_Label
IOT_DEV_000088,Smart_Camera,1.29,374.7,2,10.7,0,SAFE_Benign_Activity,0
IOT_DEV_000089,Plug_Switch,4.51,433.3,4,12.9,0,SAFE_Benign_Activity,0
IOT_DEV_000090,Smart_Camera,10.45,504.8,4,10.5,0,SAFE_Benign_Activity,0
IOT_DEV_000091,Plug_Switch,2.19,598,2,20.2,0,SAFE_Benign_Activity,0
IOT_DEV_000092,Industrial_Sensor,6.07,624.3,6,7.8,0,SAFE_Benign_Activity,0
IOT_DEV_000093,Industrial_Sensor,1.31,359.4,4,5.8,0,SAFE_Benign_Activity,0
IOT_DEV_000094,Industrial_Sensor,12.75,653.1,2,19.3,0,SAFE_Benign_Activity,0
IOT_DEV_000095,Industrial_Sensor,3.86,618.7,3,16.5,0,SAFE_Benign_Activity,0
IOT_DEV_000096,Industrial_Sensor,5.54,506.3,4,6,0,SAFE_Benign_Activity,0
IOT_DEV_000097,Smart_Camera,7.44,480.9,3,7,0,SAFE_Benign_Activity,0
IOT_DEV_000098,Plug_Switch,7.04,339,1,8.1,0,SAFE_Benign_Activity,0
IOT_DEV_000099,Smart_Camera,0.3,509.9,2,18.6,0,SAFE_Benign_Activity,0
IOT_DEV_000100,Industrial_Sensor,7.99,400.1,2,10.1,0,SAFE_Benign_Activity,0
IOT_DEV_000101,Industrial_Sensor,13.27,431.8,3,7.3,0,SAFE_Benign_Activity,0
IOT_DEV_000102,Plug_Switch,3.45,568.1,3,20.7,0,SAFE_Benign_Activity,0
IOT_DEV_000103,Industrial_Sensor,2.54,408.3,3,23.9,0,SAFE_Benign_Activity,0
IOT_DEV_000104,Plug_Switch,1.47,375.1,4,14.2,0,SAFE_Benign_Activity,0
IOT_DEV_000105,Plug_Switch,15.05,547.3,5,14.6,0,SAFE_Benign_Activity,0
IOT_DEV_000106,Smart_Camera,4.27,398.2,5,11.1,0,SAFE_Benign_Activity,0
IOT_DEV_000107,Smart_Camera,6.13,589.4,5,14.5,0,SAFE_Benign_Activity,0
IOT_DEV_000108,Industrial_Sensor,4.76,621.7,5,6.7,0,SAFE_Benign_Activity,0
IOT_DEV_000109,Smart_Camera,7.54,599.5,5,18.3,0,SAFE_Benign_Activity,0
IOT_DEV_000110,Industrial_Sensor,10.3,488.5,2,18,0,SAFE_Benign_Activity,0
IOT_DEV_000111,Plug_Switch,10.43,377.1,5,20.7,0,SAFE_Benign_Activity,0
IOT_DEV_000112,Industrial_Sensor,3.6,625.5,4,9.3,0,SAFE_Benign_Activity,0
IOT_DEV_000113,Plug_Switch,8.89,615.5,3,21.4,0,SAFE_Benign_Activity,0
IOT_DEV_000114,Industrial_Sensor,6.57,632.3,1,14.1,0,SAFE_Benign_Activity,0
IOT_DEV_000115,Smart_Camera,4.87,443.2,2,14.3,0,SAFE_Benign_Activity,0
IOT_DEV_000116,Plug_Switch,1.43,576.2,1,12.1,0,SAFE_Benign_Activity,0
IOT_DEV_000117,Plug_Switch,3.66,606.1,2,5.3,0,SAFE_Benign_Activity,0
IOT_DEV_000118,Plug_Switch,11.62,378.4,3,13.8,0,SAFE_Benign_Activity,0
IOT_DEV_000119,Plug_Switch,5.51,441.9,2,16.3,0,SAFE_Benign_Activity,0
IOT_DEV_000120,Smart_Camera,10.24,506.8,1,14.8,0,SAFE_Benign_Activity,0
IOT_DEV_000121,Smart_Camera,30.88,89.7,1,87.7,36.9,SAFE_Benign_Activity,1
IOT_DEV_000122,Industrial_Sensor,12.37,273.6,2,6.8,0,SAFE_Benign_Activity,0
IOT_DEV_000123,Industrial_Sensor,14.13,332.4,1,16.3,0,SAFE_Benign_Activity,0
IOT_DEV_000124,Plug_Switch,2.74,486,2,8.3,0,SAFE_Benign_Activity,0
IOT_DEV_000125,Plug_Switch,6.87,439.2,2,20.6,0,SAFE_Benign_Activity,0
IOT_DEV_000126,Plug_Switch,6.37,488,4,24.1,0,SAFE_Benign_Activity,0
IOT_DEV_000127,Industrial_Sensor,4.78,465.4,4,11.7,0,SAFE_Benign_Activity,0
IOT_DEV_000128,Smart_Camera,1.83,431.1,2,5.2,0,SAFE_Benign_Activity,0
IOT_DEV_000129,Plug_Switch,1.7,529.2,4,15.8,0,SAFE_Benign_Activity,0
IOT_DEV_000130,Plug_Switch,1.66,353.5,2,19.6,0,SAFE_Benign_Activity,0
IOT_DEV_000131,Industrial_Sensor,8.06,576,5,7.8,0,SAFE_Benign_Activity,0
IOT_DEV_000132,Industrial_Sensor,5.73,467.7,5,22.1,0,SAFE_Benign_Activity,0
IOT_DEV_000133,Industrial_Sensor,7.69,413.8,4,9.6,0,SAFE_Benign_Activity,0
IOT_DEV_000134,Industrial_Sensor,11.03,560.7,5,11,0,SAFE_Benign_Activity,0
IOT_DEV_000135,Smart_Camera,5.07,513.4,3,15.6,0,SAFE_Benign_Activity,0
IOT_DEV_000136,Industrial_Sensor,5.7,565,5,22.6,0,SAFE_Benign_Activity,0
IOT_DEV_000137,Industrial_Sensor,1.91,484,4,21.3,0,SAFE_Benign_Activity,0
IOT_DEV_000138,Plug_Switch,5.05,618.9,3,14.7,0,SAFE_Benign_Activity,0
IOT_DEV_000139,Smart_Camera,8.17,574.7,3,18.8,0,SAFE_Benign_Activity,0
IOT_DEV_000140,Smart_Camera,4.9,462.3,2,7.6,0,SAFE_Benign_Activity,0
IOT_DEV_000141,Plug_Switch,13.15,585.6,2,17.6,0,SAFE_Benign_Activity,0
IOT_DEV_000142,Industrial_Sensor,7.25,586.3,1,15.7,0,SAFE_Benign_Activity,0
IOT_DEV_000143,Plug_Switch,13.4,421,4,8.3,0,SAFE_Benign_Activity,0
IOT_DEV_000144,Industrial_Sensor,12.71,539.9,2,16.5,0,SAFE_Benign_Activity,0
IOT_DEV_000145,Plug_Switch,9.46,612.1,3,11.1,0,SAFE_Benign_Activity,0
IOT_DEV_000146,Smart_Camera,5.52,658.2,1,25,3,SAFE_Benign_Activity,0
IOT_DEV_000147,Plug_Switch,13.42,511,2,8.1,0,SAFE_Benign_Activity,0
IOT_DEV_000148,Plug_Switch,3.77,413.6,8,18.5,0,SAFE_Benign_Activity,0
IOT_DEV_000149,Smart_Camera,1.69,740.2,1,25,2.6,SAFE_Benign_Activity,0
IOT_DEV_000150,Plug_Switch,8.97,585.8,2,12.5,0,SAFE_Benign_Activity,0
IOT_DEV_000151,Smart_Camera,9.01,331.9,1,21.3,1.5,SAFE_Benign_Activity,0
IOT_DEV_000152,Plug_Switch,7.48,463.4,1,8.6,0,SAFE_Benign_Activity,0
IOT_DEV_000153,Industrial_Sensor,2.19,525,3,9.1,0,SAFE_Benign_Activity,0
IOT_DEV_000154,Smart_Camera,1.07,453.8,3,15,0,SAFE_Benign_Activity,0
IOT_DEV_000155,Industrial_Sensor,5.1,312.2,1,6.7,0,SAFE_Benign_Activity,0
IOT_DEV_000156,Industrial_Sensor,4.32,590.8,5,14.3,0,SAFE_Benign_Activity,0
IOT_DEV_000157,Plug_Switch,7.93,458.5,4,9.3,0,SAFE_Benign_Activity,0
IOT_DEV_000158,Industrial_Sensor,3.13,455.4,4,21.2,0,SAFE_Benign_Activity,0
IOT_DEV_000159,Industrial_Sensor,6.26,418.5,5,20.1,0,SAFE_Benign_Activity,0
IOT_DEV_000160,Industrial_Sensor,8.41,490.6,3,21.9,0,SAFE_Benign_Activity,0
IOT_DEV_000161,Smart_Camera,4.21,565.7,2,21.7,0,SAFE_Benign_Activity,0
IOT_DEV_000162,Plug_Switch,9.52,398.5,2,14.8,0,SAFE_Benign_Activity,0
IOT_DEV_000163,Plug_Switch,5.19,607.3,2,20.8,0,SAFE_Benign_Activity,0
IOT_DEV_000164,Plug_Switch,1.96,445.7,4,7.7,0,SAFE_Benign_Activity,0
IOT_DEV_000165,Smart_Camera,13.12,595.8,3,22.5,0,SAFE_Benign_Activity,0
IOT_DEV_000166,Smart_Camera,4.46,568.9,2,16.8,0,SAFE_Benign_Activity,0
IOT_DEV_000167,Industrial_Sensor,4.31,334.7,5,17.3,0,SAFE_Benign_Activity,0
IOT_DEV_000168,Industrial_Sensor,5.37,403.8,2,14.2,0,SAFE_Benign_Activity,0
IOT_DEV_000169,Smart_Camera,4.73,385.2,3,23.2,0,SAFE_Benign_Activity,0
IOT_DEV_000170,Industrial_Sensor,2,568.1,2,7.4,0,SAFE_Benign_Activity,0
IOT_DEV_000171,Smart_Camera,4.69,555.8,4,9.3,0,SAFE_Benign_Activity,0
IOT_DEV_000172,Smart_Camera,3.8,533.7,6,14.2,0,SAFE_Benign_Activity,0
IOT_DEV_000173,Industrial_Sensor,4.95,701.2,3,20.6,0,SAFE_Benign_Activity,0
IOT_DEV_000174,Plug_Switch,14.31,448.1,4,21.6,0,SAFE_Benign_Activity,0
IOT_DEV_000175,Smart_Camera,7.16,637,2,7.3,0,SAFE_Benign_Activity,0
IOT_DEV_000176,Plug_Switch,14.34,479.9,2,20.5,0,SAFE_Benign_Activity,0
IOT_DEV_000177,Plug_Switch,8.22,450.3,1,8.2,0,SAFE_Benign_Activity,0
IOT_DEV_000178,Smart_Camera,2.06,792.8,4,12.5,0,SAFE_Benign_Activity,0
IOT_DEV_000179,Plug_Switch,4.3,651.3,3,6.3,0,SAFE_Benign_Activity,0
IOT_DEV_000180,Plug_Switch,1.97,458,5,18.8,0,SAFE_Benign_Activity,0
IOT_DEV_000181,Smart_Camera,2.61,273.3,3,13.4,0,SAFE_Benign_Activity,0
IOT_DEV_000182,Industrial_Sensor,1.11,661,4,24.6,0,SAFE_Benign_Activity,0
IOT_DEV_000183,Smart_Camera,17.7,500.7,4,10.9,0,SAFE_Benign_Activity,0
IOT_DEV_000184,Plug_Switch,7.31,486.3,3,22.8,0,SAFE_Benign_Activity,0
IOT_DEV_000185,Industrial_Sensor,0.73,509.1,4,14.9,0,SAFE_Benign_Activity,0
IOT_DEV_000186,Smart_Camera,10.31,539.7,4,20.3,0,SAFE_Benign_Activity,0
IOT_DEV_000187,Industrial_Sensor,2.25,310,6,19.5,0,SAFE_Benign_Activity,0
IOT_DEV_000188,Industrial_Sensor,12.59,564.3,2,10.1,0,SAFE_Benign_Activity,0
IOT_DEV_000189,Smart_Camera,0.19,516.6,4,16.7,0,SAFE_Benign_Activity,0
IOT_DEV_000190,Smart_Camera,8.33,578.9,2,21.2,0,SAFE_Benign_Activity,0
IOT_DEV_000191,Industrial_Sensor,7.04,482.4,4,19.1,0,SAFE_Benign_Activity,0
IOT_DEV_000192,Smart_Camera,8.97,320.5,2,10.8,0,SAFE_Benign_Activity,0
IOT_DEV_000193,Industrial_Sensor,5.99,606,1,10.3,0,SAFE_Benign_Activity,0
IOT_DEV_000194,Smart_Camera,5.16,582.2,2,23.7,0,SAFE_Benign_Activity,0
IOT_DEV_000195,Plug_Switch,5.27,423.9,6,17.2,0,SAFE_Benign_Activity,0
IOT_DEV_000196,Plug_Switch,9.71,358.7,6,22.4,0,SAFE_Benign_Activity,0
IOT_DEV_000197,Plug_Switch,2.14,560.9,3,23.4,0,SAFE_Benign_Activity,0
IOT_DEV_000198,Smart_Camera,5.21,684.6,5,7.3,0,SAFE_Benign_Activity,0
IOT_DEV_000199,Industrial_Sensor,1.91,371.3,3,24.9,0,SAFE_Benign_Activity,0
IOT_DEV_000200,Plug_Switch,0.41,475.1,5,17.4,0,SAFE_Benign_Activity,0
IOT_DEV_000201,Industrial_Sensor,4.99,484,2,18.1,0,SAFE_Benign_Activity,0
IOT_DEV_000202,Smart_Camera,1.65,529.1,3,14.1,0,SAFE_Benign_Activity,0
IOT_DEV_000203,Industrial_Sensor,3.08,499.6,2,11.7,0,SAFE_Benign_Activity,0
IOT_DEV_000204,Industrial_Sensor,6.43,406.5,2,22.2,0,SAFE_Benign_Activity,0
IOT_DEV_000205,Industrial_Sensor,3.48,536.7,2,8,0,SAFE_Benign_Activity,0
IOT_DEV_000206,Smart_Camera,5.49,436.2,2,13,0,SAFE_Benign_Activity,0
IOT_DEV_000207,Smart_Camera,7.72,625.6,1,15.6,0,SAFE_Benign_Activity,0
IOT_DEV_000208,Smart_Camera,2.53,323.9,2,13.4,0,SAFE_Benign_Activity,0
IOT_DEV_000209,Industrial_Sensor,11.36,516.5,1,8.6,0,SAFE_Benign_Activity,0
IOT_DEV_000210,Industrial_Sensor,355.57,89.7,1,89.5,70.3,WARNING_Suspicious_Outbound,1
IOT_DEV_000211,Industrial_Sensor,2.35,488.9,4,21.5,0,SAFE_Benign_Activity,0
IOT_DEV_000212,Plug_Switch,2.63,703.3,2,19.2,0,SAFE_Benign_Activity,0
IOT_DEV_000213,Industrial_Sensor,748.05,89.7,1,87.5,100,CRITICAL_DDoS_Active,1
IOT_DEV_000214,Smart_Camera,9.5,287.4,5,5.1,0,SAFE_Benign_Activity,0
IOT_DEV_000215,Industrial_Sensor,4.46,431.2,4,9.1,0,SAFE_Benign_Activity,0
IOT_DEV_000216,Smart_Camera,6.17,512.8,5,10.2,0,SAFE_Benign_Activity,0
IOT_DEV_000217,Industrial_Sensor,6.98,380.9,2,20.1,0,SAFE_Benign_Activity,0
IOT_DEV_000218,Industrial_Sensor,12,435.1,6,12.6,0,SAFE_Benign_Activity,0
IOT_DEV_000219,Plug_Switch,1.45,411.3,2,14.9,0,SAFE_Benign_Activity,0
IOT_DEV_000220,Plug_Switch,3,550.2,3,15.4,0,SAFE_Benign_Activity,0
IOT_DEV_000221,Plug_Switch,9.56,488.2,4,8.9,0,SAFE_Benign_Activity,0
IOT_DEV_000222,Industrial_Sensor,3.34,376.8,2,8.8,0,SAFE_Benign_Activity,0
IOT_DEV_000223,Industrial_Sensor,216.12,89.7,1,90.7,57,WARNING_Suspicious_Outbound,1
IOT_DEV_000224,Plug_Switch,3.22,550.5,1,18.7,0,SAFE_Benign_Activity,0
IOT_DEV_000225,Smart_Camera,1.93,409.5,3,17.5,0,SAFE_Benign_Activity,0
IOT_DEV_000226,Smart_Camera,3.37,550.5,4,9.3,0,SAFE_Benign_Activity,0
IOT_DEV_000227,Industrial_Sensor,9.03,547.7,2,20.8,0,SAFE_Benign_Activity,0
IOT_DEV_000228,Smart_Camera,11.03,345.7,2,18.9,0,SAFE_Benign_Activity,0
IOT_DEV_000229,Smart_Camera,5,548.3,2,22,0,SAFE_Benign_Activity,0
IOT_DEV_000230,Industrial_Sensor,21.91,599.3,2,17,0,SAFE_Benign_Activity,0
IOT_DEV_000231,Plug_Switch,9.03,485.1,3,10.6,0,SAFE_Benign_Activity,0
IOT_DEV_000232,Plug_Switch,10.33,632.5,4,8.4,0,SAFE_Benign_Activity,0
IOT_DEV_000233,Industrial_Sensor,1.7,463.9,2,21.2,0,SAFE_Benign_Activity,0
IOT_DEV_000234,Smart_Camera,5.41,471.9,4,11.4,0,SAFE_Benign_Activity,0
IOT_DEV_000235,Smart_Camera,8.21,842.1,3,20.8,0,SAFE_Benign_Activity,0
IOT_DEV_000236,Plug_Switch,17.99,563.6,2,19.9,0,SAFE_Benign_Activity,0
IOT_DEV_000237,Smart_Camera,10.67,462.1,4,21.3,0,SAFE_Benign_Activity,0
IOT_DEV_000238,Plug_Switch,1.01,525.4,2,14.1,0,SAFE_Benign_Activity,0
IOT_DEV_000239,Smart_Camera,3.39,515.2,3,16.2,0,SAFE_Benign_Activity,0
IOT_DEV_000240,Industrial_Sensor,9.15,384.8,3,18.8,0,SAFE_Benign_Activity,0
IOT_DEV_000241,Plug_Switch,3.64,625.8,3,9.4,0,SAFE_Benign_Activity,0
IOT_DEV_000242,Industrial_Sensor,595.44,89.7,1,91,95.1,CRITICAL_DDoS_Active,1
IOT_DEV_000243,Industrial_Sensor,2.45,401.2,3,23.6,0,SAFE_Benign_Activity,0
IOT_DEV_000244,Plug_Switch,1.92,690.9,4,9.8,0,SAFE_Benign_Activity,0
IOT_DEV_000245,Industrial_Sensor,0.98,655.2,4,16.7,0,SAFE_Benign_Activity,0
IOT_DEV_000246,Smart_Camera,4.24,452.9,3,19.5,0,SAFE_Benign_Activity,0
IOT_DEV_000247,Smart_Camera,6.48,418.9,3,18.4,0,SAFE_Benign_Activity,0
IOT_DEV_000248,Smart_Camera,15.4,443.8,1,8.5,0,SAFE_Benign_Activity,0
IOT_DEV_000249,Plug_Switch,3.51,476,3,6.6,0,SAFE_Benign_Activity,0
IOT_DEV_000250,Smart_Camera,1.77,397.1,4,16.6,0,SAFE_Benign_Activity,0
IOT_DEV_000251,Industrial_Sensor,5.1,523.3,3,13.4,0,SAFE_Benign_Activity,0
IOT_DEV_000252,Smart_Camera,8.36,525.6,4,16.4,0,SAFE_Benign_Activity,0
IOT_DEV_000253,Plug_Switch,5.76,598.1,5,19.4,0,SAFE_Benign_Activity,0
IOT_DEV_000254,Smart_Camera,10.11,553.2,5,15.2,0,SAFE_Benign_Activity,0
IOT_DEV_000255,Plug_Switch,1.91,588.7,1,7.1,0,SAFE_Benign_Activity,0
IOT_DEV_000256,Smart_Camera,7.98,462.1,2,14.4,0,SAFE_Benign_Activity,0
IOT_DEV_000257,Industrial_Sensor,12.82,436.7,2,24.8,0,SAFE_Benign_Activity,0
IOT_DEV_000258,Plug_Switch,11.83,520,1,13.3,0,SAFE_Benign_Activity,0
IOT_DEV_000259,Industrial_Sensor,1.28,471.5,4,20.7,0,SAFE_Benign_Activity,0
IOT_DEV_000260,Industrial_Sensor,16.66,457.8,3,22.2,0,SAFE_Benign_Activity,0
IOT_DEV_000261,Smart_Camera,6.08,351,3,14.7,0,SAFE_Benign_Activity,0
IOT_DEV_000262,Industrial_Sensor,4.82,607,4,6.8,0,SAFE_Benign_Activity,0
IOT_DEV_000263,Smart_Camera,3.17,579.1,1,7,0,SAFE_Benign_Activity,0
IOT_DEV_000264,Industrial_Sensor,1.92,490.1,2,14.6,0,SAFE_Benign_Activity,0
IOT_DEV_000265,Plug_Switch,2.85,530.9,3,24.9,0,SAFE_Benign_Activity,0
IOT_DEV_000266,Smart_Camera,1.23,573.9,2,12.4,0,SAFE_Benign_Activity,0
IOT_DEV_000267,Smart_Camera,154.34,89.7,1,78.6,44.7,SAFE_Benign_Activity,1
IOT_DEV_000268,Industrial_Sensor,4.33,441,2,14.4,0,SAFE_Benign_Activity,0
IOT_DEV_000269,Plug_Switch,23.84,504.9,2,17.7,0,SAFE_Benign_Activity,0
IOT_DEV_000270,Plug_Switch,3.65,654.4,2,6.4,0,SAFE_Benign_Activity,0
IOT_DEV_000271,Plug_Switch,4.07,526.5,7,19,0,SAFE_Benign_Activity,0
IOT_DEV_000272,Plug_Switch,11.62,526.9,2,24.9,0,SAFE_Benign_Activity,0
IOT_DEV_000273,Plug_Switch,3.34,420.9,2,10.2,0,SAFE_Benign_Activity,0
